title,image,published,description,category,author,image_relation,fake_news_label,image_location
Social Security head replaced after clash with Elon Musk's DOGE,https://s.yimg.com/ny/api/res/1.2/NpP.f1PQfst9DdkTjKNHDA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2025-02/f0c25840-ee1f-11ef-9ecf-5e69575fa433,2025-02-18 17:47:30+00:00,"The acting Social Security Administration commissioner, Michelle King, stepped down after a clash with Tesla (TSLA) CEO Elon Musk's Department of Government Efficiency (DOGE) about how to handle sensitive data. Yahoo Finance Washington Correspondent Ben Werschkul joins Wealth Host Brad Smith to brea...",general,Yahoo Finance,Yes,Real,Images\image_0.jpg
Richard Linklater and Ethan Hawke Tease New Movie Together Set in the 19th Century: ‘I Want to Get It Financed’,https://variety.com/wp-content/uploads/2025/02/GettyImages-2199698493.jpg?w=1000&h=563&crop=1,2025-02-18 17:19:25+00:00,"Before premiering 'Blue Moon' at Berlin Film Festival, Richard Linklater and Ethan Hawke revealed they have a 10th film together in the works.",entertainment,Ellise Shafer,Yes,Real,Images\image_1.jpg
Institutions Can Earn Bitcoin Yield With lstBTC While Retaining Custodian Security,https://cdn.benzinga.com/files/images/story/2025/02/18/stock-traders-shutter.jpeg?width=1200&height=800&fit=crop,2025-02-18 17:02:27+00:00,"Maple Finance, BitGo, Copper, and Hex Trust team up with Core Foundation to launch lstBTC, allowing institutional Bitcoin holders to earn yield while retaining custody.",finance,Khyathi Dalal,No,Real,Images\image_2.jpeg
"Your 10-Step Guide to Buying a Home, From Start to Finish",https://www.cnet.com/a/img/resize/769d3b87e85c336c7a027931257809642ac68800/hub/2024/11/20/3dce3b89-b4fd-4a88-8c64-15dfee7f67fe/heloc-mortgages-home-money-2874.jpg?auto=webp&fit=crop&height=675&width=1200,2025-02-18 17:00:00+00:00,"Buying a home is a multistep process. Before applying for a mortgage, you'll have to get your finances in shape, choose a lender and be prepared for all the costs associated with homeownership. Here's...",technology,Katherine Watt,Yes,Real,Images\image_3.jpg
OppFi Stock Deserves A Strong Buy On Its Dip (OPFI),https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1365653200/image_1365653200.jpg?io=getty-c-w1536,2025-02-18 15:35:17+00:00,"OppFi is a specialty finance firm focusing on underserved populations, with a market of >60 million consumers. See why I rate OPFI as a strong buy stock today.","business, finance",Danil Sereda,Yes,Real,Images\image_4.jpg
Don't Let Credit Card Debt Wreck Your Finances in 2025. How to Pay It Off,https://www.cnet.com/a/img/resize/ddd3a147b267318f6dcafdf5bcc9d26ac0dae8eb/hub/2025/02/06/f75b475b-1f0c-4463-80c2-99631ae46d42/gettyimages-88621051.jpg?auto=webp&fit=crop&height=675&width=1200,2025-02-18 14:50:00+00:00,"Credit card debt can be overwhelming. Once you've spent more than you can pay off, your debt can balloon as interest charges rack up and deepen the hole you're in.

There are proven strategies that ca...","howto, lifestyle",Liliana Hall,Yes,Real,Images\image_5.jpg
"Root, Inc. Q4 2024 Earnings Preview (NASDAQ:ROOT)",https://static.seekingalpha.com/cdn/s3/uploads/getty_images/90201070/image_90201070.jpg?io=getty-c-w1536,2025-02-18 14:00:00+00:00,"Michael (Mike) Dion is an FP&A, Corporate Finance, and Small Business expert who spent the last 12 years working in the Fortune 100, building a startup's finance and accounting department, advising sm...","business, finance",Michael Dion,Yes,Real,Images\image_7.jpg
SkyBridge Capital's Anthony Scaramucci Backs Kinto Ahead of Token Launch,/next-assets/images/schema-image-default.png,2025-02-18 13:30:00+00:00,"NEW YORK, Feb. 18, 2025 /PRNewswire/ -- As traditional finance continues its migration on-chain, SkyBridge Capital Founder and Managing Partner, Anthony Scaramucci, is excited about Kinto&#39;s upcoming token launch,",finance,PRNewswire,No,Real,Failed
Singapore To Fork Out Billions For Changi Airport Upgrades,"https://c.ndtvimg.com/2019-08/kbffa86o_changi-airport-singapore-worlds-best-airports_625x300_27_August_19.jpg?im=FitAndFill,algorithm=dnn,width=1200,height=738",2025-02-18 13:07:52+00:00,"Singapore will pour an additional $3.7 billion into upgrades at Changi airport, including a long-awaited fifth terminal, as the nation seeks to maintain its position as a top global aviation hub, its leader said Tuesday.
Prime Minister Lawrence Wong announced the fresh infusion while presenting the ...",world,ndtv,Yes,Real,Images\image_9.jpg
"Mortgage and refinance rates today, February 18, 2024: 30-year rate down 15 basis points this year",https://s.yimg.com/ny/api/res/1.2/Y2tfJtD0oUt6xTTdKawkhA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2024-04/700e25a0-fb43-11ee-be6b-a40c5cf2631a,2025-02-18 11:00:07+00:00,These are today's mortgage and refinance rates. Interest rates have decreased since the beginning of 2025. Lock in your rate today.,general,Laura Grace Tarpley,No,Real,Images\image_11.jpg
"Alpha Liquid Terminal signs strategic partnership with GoSATS, the fastest growing Bitcoin-rebate card in India",https://ml.globenewswire.com/Resource/Download/7c5f5bd2-213f-4c9c-9215-1381c4d4daea,2025-02-18 10:00:00+00:00,"Tampa, FL and Singapore, Feb. 18, 2025 (GLOBE NEWSWIRE) -- Alpha Liquid Terminal (altx.finance) is excited to announce a strategic partnership with GoSats (gosats.io), one of the largest crypto onboar...",company,Alpha Liquid Terminal,Yes,Real,Images\image_12.jpg
Top Democrats question IRS on DOGE access to taxpayer data,https://thehill.com/wp-content/uploads/sites/2/2025/02/AP25029558084969-e1739283545403.jpg?w=1280,2025-02-17 17:45:33+00:00,Top Democrats in Congress want to know what Elon Musk’s Department of Government Efficiency (DOGE) plans to do at the Internal Revenue Service (IRS) after multiple outlets reported the advisory unit sought access to the sensitive IRS systems. Senate Finance C…,news_media,Unknown,Yes,Real,Images\image_15.jpg
Nereus Announces Launch of DAO and Staking Program: Empowering Users to Earn Rewards and Influence the Future,/next-assets/images/schema-image-default.png,2025-02-17 16:42:00+00:00,"HONG KONG, Feb. 17, 2025 /PRNewswire/ -- Nereus, a leading decentralized finance (DeFi) platform, is excited to announce the launch of its Staking Program and Governance Decentralized Autonomous Organization (DAO),",finance,PRNewswire,No,Real,Failed
UK Supreme Court Rejects Reeves’ Motor Finance Intervention,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iPrTySUD0e3k/v1/1200x808.jpg,2025-02-17 15:30:51+00:00,"The UK’s Supreme Court refused to let the Treasury intervene in a landmark court case over controversial car loans, dealing a blow to Chancellor Rachel Reeves who had sought to argue that the suit was hindering Britain’s regulatory environment.",general,Unknown,Yes,Real,Images\image_17.jpg
"As a personal finance expert, this is the worst savings advice I see on social media",https://s.yimg.com/ny/api/res/1.2/qUTz_2o9whajwUpsKxkjzQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2025-02/b7af8b30-eb0a-11ef-bfff-aa2fc8acf795,2025-02-17 14:00:13+00:00,"Social media is chock full of money and savings advice — and a lot of it is bad. Here’s the worst savings advice on social media, according to one financial expert.",general,Ivana Pino,No,Real,Images\image_18.jpg
Grand Theft Auto 6 may release on PC only a few months after the console launch,https://static.tweaktown.com/news/1/0/103321_13312_grand-theft-auto-6-may-release-on-pc-only-few-months-after-the-console-launch_full.jpg,2025-02-17 12:33:03+00:00,"Corsair's VP of finance has said during an earnings call that he believes Grand Theft Auto 6 will be released on PC, and it's not one whole year later.",game,Jak Connor,Yes,Real,Images\image_19.jpg
Star Gets Potential Lifeline as Oaktree Offers Debt Refinancing,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/ij8l4roNWbY8/v0/1200x800.jpg,2025-02-16 23:13:01+00:00,"Star Entertainment Group Ltd. received a potential lifeline from alternative asset manager Oaktree Capital Management, which offered to refinance A$650 million ($413 million) of the struggling Australian casino operator’s debt.",general,Unknown,Yes,Real,Images\image_25.jpg
"Chicago Atlantic Real Estate Finance, Inc. (NASDAQ:REFI) Sees Large Decline in Short Interest",https://www.marketbeat.com/logos/chicago-atlantic-real-estate-finance-inc-logo-1200x675.png?v=20240528162548,2025-02-16 14:27:59+00:00,"Chicago Atlantic Real Estate Finance, Inc. (NASDAQ:REFI - Get Free Report) saw a large decline in short interest during the month of January. As of January 31st, there was short interest totalling 263,800 shares, a decline of 18.0% from the January 15th total of 321,900 shares. Currently, 1.6% of t...",finance,MarketBeat,Yes,Real,Images\image_26.png
East Timor's Challenges Two Decades After Independence,https://static01.nyt.com/images/2025/02/11/multimedia/00easttimor-HP/00easttimor-01-jgcw-facebookJumbo.jpg,2025-02-16 05:01:18+00:00,"East Timor has become a stable democracy after securing independence in 2002. But its finances are precarious, and nearly half of its people live in poverty.",world,Sui-Lee Wee,Yes,Real,Images\image_30.jpg
