title,image,published,description,category,author,image_relation,fake_news_label
Social Security head replaced after clash with Elon Musk's DOGE,https://s.yimg.com/ny/api/res/1.2/NpP.f1PQfst9DdkTjKNHDA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2025-02/f0c25840-ee1f-11ef-9ecf-5e69575fa433,2025-02-18 17:47:30 +0000,"The acting Social Security Administration commissioner, Michelle King, stepped down after a clash with Tesla (TSLA) CEO Elon Musk's Department of Government Efficiency (DOGE) about how to handle sensitive data. Yahoo Finance Washington Correspondent Ben Werschkul joins Wealth Host Brad Smith to brea...",['general'],Yahoo Finance,Yes,Real
Richard Linklater and Ethan Hawke Tease New Movie Together Set in the 19th Century: ‘I Want to Get It Financed’,https://variety.com/wp-content/uploads/2025/02/GettyImages-2199698493.jpg?w=1000&h=563&crop=1,2025-02-18 17:19:25 +0000,"Before premiering 'Blue Moon' at Berlin Film Festival, Richard Linklater and Ethan Hawke revealed they have a 10th film together in the works.",['entertainment'],Ellise Shafer,Yes,Real
Northpoint Commercial Finance Partners with Yanmar America to provide Exclusive Floor Plan Dealer Financing for their Rural Lifestyle Group,,2025-02-18 17:07:00 +0000,"Northpoint Commercial Finance Partners with Yanmar America to provide Exclusive Floor Plan Dealer Financing for their Rural Lifestyle Group
ADAIRSVILLE, Ga., Feb. 18, 2025 /PRNewswire/ -- Northpoint Commercial Finance (Northpoint), a diversified finance company that provides flexible inventory lendi...",['finance'],PRNewswire,Yes,Real
Institutions Can Earn Bitcoin Yield With lstBTC While Retaining Custodian Security,https://cdn.benzinga.com/files/images/story/2025/02/18/stock-traders-shutter.jpeg?width=1200&height=800&fit=crop,2025-02-18 17:02:27 +0000,"Maple Finance, BitGo, Copper, and Hex Trust team up with Core Foundation to launch lstBTC, allowing institutional Bitcoin holders to earn yield while retaining custody.",['finance'],Khyathi Dalal,No,Real
"Your 10-Step Guide to Buying a Home, From Start to Finish",https://www.cnet.com/a/img/resize/769d3b87e85c336c7a027931257809642ac68800/hub/2024/11/20/3dce3b89-b4fd-4a88-8c64-15dfee7f67fe/heloc-mortgages-home-money-2874.jpg?auto=webp&fit=crop&height=675&width=1200,2025-02-18 17:00:00 +0000,"Buying a home is a multistep process. Before applying for a mortgage, you'll have to get your finances in shape, choose a lender and be prepared for all the costs associated with homeownership. Here's...",['technology'],Katherine Watt,Yes,Real
CONNECTING THE DOTS: Mapping Alex Soros's Growing Dominance in Washington,,2025-02-18 17:00:00 +0000,"CONNECTING THE DOTS: Mapping Alex Soros's Growing Dominance in Washington

Finding links to the Soros family in the Joe Biden White House should come as no surprise. In addition to George's decades-long meddling in our politics, he spent tens of millions backing Biden and other Democrats in 2020, an...",['general'],Joseph Vazquez,No,Real
Under the Radar: Strategic Financial Screening Reveals International Opportunity,,2025-02-18 16:42:30 +0000,"Several academic studies have recently examined buying undervalued stocks using tools like the Piotroski F-Score, Joel Greenblatt’s Magic Formula, and profitability factors. I have written about these studies in this column and in my weekly e-letter.
Rather than bore you with all the detailed and ac...",['finance'],Tim Melvin,No,Real
"Al Qaeda-linked group member killed in US airstrike, Pentagon says",,2025-02-18 16:07:56 +0000,"A member of a group linked to al Qaeda has been killed in a U.S. airstrike, U.S. Central Command (CENTCOM) said in a post on the social platform X.
""On Feb. 15, U.S. Central Command (CENTCOM) Forces conducted a precision airstrike in Northwest Syria targeting and killing a senior finance and logisti...",['general'],Tara Suter,No,Real
JD.com Seeks Place At China's Massive Takeout Dining Table,,2025-02-18 16:07:27 +0000,"Key Takeaways:

JD.com has signaled it’s preparing to enter China’s massive takeout dining market, most likely using its Dada Nexus local delivery service as a foundation
The initiative is likely to do well over the longer term by targeting large chains and using existing infrastructure, but could w...",['finance'],The Bamboo Works,No,Real
OppFi Stock Deserves A Strong Buy On Its Dip (OPFI),https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1365653200/image_1365653200.jpg?io=getty-c-w1536,2025-02-18 15:35:17 +0000,"OppFi is a specialty finance firm focusing on underserved populations, with a market of >60 million consumers. See why I rate OPFI as a strong buy stock today.","['business', 'finance']",Danil Sereda,Yes,Real
Target scrapped DEI to please Trump. It's not helping business.,,2025-02-18 15:10:47 +0000,"Target is learning that its efforts to please Donald Trump and the GOP have done nothing to improve its bottom line while generating worse ""real consequences,"" reports Ariel Messman-Rucker for Yahoo Finance. It is beset by lawsuits and its share price is going nowhere good. — Read the rest 
The post...",['entertainment'],Rob Beschizza,No,Real
Don't Let Credit Card Debt Wreck Your Finances in 2025. How to Pay It Off,https://www.cnet.com/a/img/resize/ddd3a147b267318f6dcafdf5bcc9d26ac0dae8eb/hub/2025/02/06/f75b475b-1f0c-4463-80c2-99631ae46d42/gettyimages-88621051.jpg?auto=webp&fit=crop&height=675&width=1200,2025-02-18 14:50:00 +0000,"Credit card debt can be overwhelming. Once you've spent more than you can pay off, your debt can balloon as interest charges rack up and deepen the hole you're in.

There are proven strategies that ca...","['howto', 'lifestyle']",Liliana Hall,Yes,Real
Nirmala Sitharaman Meets Former UK PM Rishi Sunak In Delhi,https://c.ndtvimg.com/2025-02/0en40fp_nirmala-sitharaman-rishi-sunak_625x300_18_February_25.jpeg,2025-02-18 14:47:24 +0000,Union Minister for Finance and Corporate Affairs Nirmala Sitharaman met former UK Prime Minister Rishi Sunak here on Tuesday and the two discussed potential new avenues to strengthen market-based financial ties and drive economic growth.,['world'],ndtv,Unknown,Unknown
Raizen Fuels Finance S.A. announces cash tender offer for any and all of its outstanding 5.300% Notes due 2027,,2025-02-18 14:26:00 +0000,"SÃO PAULO, Feb. 18, 2025 /PRNewswire/ -- Raizen Fuels Finance S.A. (""Raizen Fuels"") today announces the commencement of an offer to purchase for cash (the ""Offer"") any and all of the outstanding 5.300% notes due 2027 (the ""Notes"") issued by Raizen Fuels and guaranteed by Raízen S.A. (as successor in...",['finance'],PRNewswire,No,Real
"Root, Inc. Q4 2024 Earnings Preview (NASDAQ:ROOT)",https://static.seekingalpha.com/cdn/s3/uploads/getty_images/90201070/image_90201070.jpg?io=getty-c-w1536,2025-02-18 14:00:00 +0000,"Michael (Mike) Dion is an FP&A, Corporate Finance, and Small Business expert who spent the last 12 years working in the Fortune 100, building a startup's finance and accounting department, advising sm...","['business', 'finance']",Michael Dion,Yes,Real
SkyBridge Capital's Anthony Scaramucci Backs Kinto Ahead of Token Launch,/next-assets/images/schema-image-default.png,2025-02-18 13:30:00 +0000,"NEW YORK, Feb. 18, 2025 /PRNewswire/ -- As traditional finance continues its migration on-chain, SkyBridge Capital Founder and Managing Partner, Anthony Scaramucci, is excited about Kinto&#39;s upcoming token launch,",['finance'],PRNewswire,No,Real
Singapore To Fork Out Billions For Changi Airport Upgrades,"https://c.ndtvimg.com/2019-08/kbffa86o_changi-airport-singapore-worlds-best-airports_625x300_27_August_19.jpg?im=FitAndFill,algorithm=dnn,width=1200,height=738",2025-02-18 13:07:52 +0000,"Singapore will pour an additional $3.7 billion into upgrades at Changi airport, including a long-awaited fifth terminal, as the nation seeks to maintain its position as a top global aviation hub, its leader said Tuesday.
Prime Minister Lawrence Wong announced the fresh infusion while presenting the ...",['world'],ndtv,Yes,Real
Great Lakes Reports Fourth Quarter and Full Year 2024 Results,,2025-02-18 13:00:23 +0000,"Fourth quarter net income of $19.7 millionFourth quarter Adjusted EBITDA of $40.2 millionFull year net income of $57.3 millionFull year Adjusted EBITDA of $136.0 millionDredging backlog of $1.2 billion at December 31, 2024
HOUSTON, Feb. 18, 2025 (GLOBE NEWSWIRE) -- Great Lakes Dredge & Dock Corporat...",['finance'],Globe Newswire,Unknown,Unknown
