title,image,published,description,category,author,image_relation,fake_news_label
Social Security head replaced after clash with Elon Musk's DOGE,https://s.yimg.com/ny/api/res/1.2/NpP.f1PQfst9DdkTjKNHDA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2025-02/f0c25840-ee1f-11ef-9ecf-5e69575fa433,2025-02-18 17:47:30+00:00,"The acting Social Security Administration commissioner, Michelle King, stepped down after a clash with Tesla (TSLA) CEO Elon Musk's Department of Government Efficiency (DOGE) about how to handle sensitive data. Yahoo Finance Washington Correspondent Ben Werschkul joins Wealth Host Brad Smith to brea...",general,Yahoo Finance,Yes,Real
Richard Linklater and Ethan Hawke Tease New Movie Together Set in the 19th Century: ‘I Want to Get It Financed’,https://variety.com/wp-content/uploads/2025/02/GettyImages-2199698493.jpg?w=1000&h=563&crop=1,2025-02-18 17:19:25+00:00,"Before premiering 'Blue Moon' at Berlin Film Festival, Richard Linklater and Ethan Hawke revealed they have a 10th film together in the works.",entertainment,Ellise Shafer,Yes,Real
Institutions Can Earn Bitcoin Yield With lstBTC While Retaining Custodian Security,https://cdn.benzinga.com/files/images/story/2025/02/18/stock-traders-shutter.jpeg?width=1200&height=800&fit=crop,2025-02-18 17:02:27+00:00,"Maple Finance, BitGo, Copper, and Hex Trust team up with Core Foundation to launch lstBTC, allowing institutional Bitcoin holders to earn yield while retaining custody.",finance,Khyathi Dalal,No,Real
"Your 10-Step Guide to Buying a Home, From Start to Finish",https://www.cnet.com/a/img/resize/769d3b87e85c336c7a027931257809642ac68800/hub/2024/11/20/3dce3b89-b4fd-4a88-8c64-15dfee7f67fe/heloc-mortgages-home-money-2874.jpg?auto=webp&fit=crop&height=675&width=1200,2025-02-18 17:00:00+00:00,"Buying a home is a multistep process. Before applying for a mortgage, you'll have to get your finances in shape, choose a lender and be prepared for all the costs associated with homeownership. Here's...",technology,Katherine Watt,Yes,Real
OppFi Stock Deserves A Strong Buy On Its Dip (OPFI),https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1365653200/image_1365653200.jpg?io=getty-c-w1536,2025-02-18 15:35:17+00:00,"OppFi is a specialty finance firm focusing on underserved populations, with a market of >60 million consumers. See why I rate OPFI as a strong buy stock today.","business, finance",Danil Sereda,Yes,Real
Don't Let Credit Card Debt Wreck Your Finances in 2025. How to Pay It Off,https://www.cnet.com/a/img/resize/ddd3a147b267318f6dcafdf5bcc9d26ac0dae8eb/hub/2025/02/06/f75b475b-1f0c-4463-80c2-99631ae46d42/gettyimages-88621051.jpg?auto=webp&fit=crop&height=675&width=1200,2025-02-18 14:50:00+00:00,"Credit card debt can be overwhelming. Once you've spent more than you can pay off, your debt can balloon as interest charges rack up and deepen the hole you're in.

There are proven strategies that ca...","howto, lifestyle",Liliana Hall,Yes,Real
Nirmala Sitharaman Meets Former UK PM Rishi Sunak In Delhi,https://c.ndtvimg.com/2025-02/0en40fp_nirmala-sitharaman-rishi-sunak_625x300_18_February_25.jpeg,2025-02-18 14:47:24+00:00,Union Minister for Finance and Corporate Affairs Nirmala Sitharaman met former UK Prime Minister Rishi Sunak here on Tuesday and the two discussed potential new avenues to strengthen market-based financial ties and drive economic growth.,world,ndtv,Unknown,Unknown
"Root, Inc. Q4 2024 Earnings Preview (NASDAQ:ROOT)",https://static.seekingalpha.com/cdn/s3/uploads/getty_images/90201070/image_90201070.jpg?io=getty-c-w1536,2025-02-18 14:00:00+00:00,"Michael (Mike) Dion is an FP&A, Corporate Finance, and Small Business expert who spent the last 12 years working in the Fortune 100, building a startup's finance and accounting department, advising sm...","business, finance",Michael Dion,Yes,Real
SkyBridge Capital's Anthony Scaramucci Backs Kinto Ahead of Token Launch,/next-assets/images/schema-image-default.png,2025-02-18 13:30:00+00:00,"NEW YORK, Feb. 18, 2025 /PRNewswire/ -- As traditional finance continues its migration on-chain, SkyBridge Capital Founder and Managing Partner, Anthony Scaramucci, is excited about Kinto&#39;s upcoming token launch,",finance,PRNewswire,No,Real
Singapore To Fork Out Billions For Changi Airport Upgrades,"https://c.ndtvimg.com/2019-08/kbffa86o_changi-airport-singapore-worlds-best-airports_625x300_27_August_19.jpg?im=FitAndFill,algorithm=dnn,width=1200,height=738",2025-02-18 13:07:52+00:00,"Singapore will pour an additional $3.7 billion into upgrades at Changi airport, including a long-awaited fifth terminal, as the nation seeks to maintain its position as a top global aviation hub, its leader said Tuesday.
Prime Minister Lawrence Wong announced the fresh infusion while presenting the ...",world,ndtv,Yes,Real
"India, Qatar Elevate Ties To 'Strategic Partnership' As Emir Meets PM Modi",https://c.ndtvimg.com/2025-02/t12tgff4_pm-modi-emir-of-qatar-sheikh-tamim-bin-hamad-al-thani-pti_625x300_18_February_25.jpeg,2025-02-18 12:47:47+00:00,Qatar and India have agreed today to elevate their ties to a strategic partnership and an agreement in this regard was exchanged between the two nations. The decision was announced after a meeting between Prime Minister Narendra Modi and the Emir of Qatar Sheikh Tamim Bin Hamad Al-Thani in New Delhi...,world,ndtv,Unknown,Unknown
"Mortgage and refinance rates today, February 18, 2024: 30-year rate down 15 basis points this year",https://s.yimg.com/ny/api/res/1.2/Y2tfJtD0oUt6xTTdKawkhA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2024-04/700e25a0-fb43-11ee-be6b-a40c5cf2631a,2025-02-18 11:00:07+00:00,These are today's mortgage and refinance rates. Interest rates have decreased since the beginning of 2025. Lock in your rate today.,general,Laura Grace Tarpley,No,Real
"Alpha Liquid Terminal signs strategic partnership with GoSATS, the fastest growing Bitcoin-rebate card in India",https://ml.globenewswire.com/Resource/Download/7c5f5bd2-213f-4c9c-9215-1381c4d4daea,2025-02-18 10:00:00+00:00,"Tampa, FL and Singapore, Feb. 18, 2025 (GLOBE NEWSWIRE) -- Alpha Liquid Terminal (altx.finance) is excited to announce a strategic partnership with GoSats (gosats.io), one of the largest crypto onboar...",company,Alpha Liquid Terminal,Yes,Real
Johnson & Johnson: Rich History Of Excellence Poised To Endure (NYSE:JNJ),https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1225119943/image_1225119943.jpg?io=getty-c-w1536,2025-02-18 07:16:53+00:00,"I am a highly experienced Chief Financial Officer (CFO) with a strong background in the oilfield and real estate industries. With over a decade of experience in finance, I have led numerous complex du...","business, finance",Dair Sansyzbayev,Unknown,Unknown
"Summer Intern - Fort Lee, New Jersey, United States",https://d8yy0r0qfxgnb.cloudfront.net/public/uploads/b99fcfbc8006a035e2a1670a84159390/images/files/cc3223f816659575c36dff14cbfcc02e/original/WTW_Logo.jpg?1732548717,2025-02-18 00:25:17+00:00,"Description
We are looking for several rising college Seniors who have a strong interest in a career at TRANZACT.  Candidates must have strong analytic abilities, an extraordinary work ethic, excellent communication skills and a desire to be part of a dynamic and fun organization.The Intern will hav...","regional, new-jersey",Unknown,Unknown,Unknown
Top Democrats question IRS on DOGE access to taxpayer data,https://thehill.com/wp-content/uploads/sites/2/2025/02/AP25029558084969-e1739283545403.jpg?w=1280,2025-02-17 17:45:33+00:00,Top Democrats in Congress want to know what Elon Musk’s Department of Government Efficiency (DOGE) plans to do at the Internal Revenue Service (IRS) after multiple outlets reported the advisory unit sought access to the sensitive IRS systems. Senate Finance C…,news_media,Unknown,Yes,Real
